vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
                                        self=4.3 (0.4) us, cum=4.3 (0.4) us, calls=10                              ~:0 <method 'get' of 'dict' objects>()
                                        self=1.3 (0.2) us, cum=1.3 (0.2) us, calls=6                               scripts/client_common/vehicle_appearance/common_tank_appearance.py:249 <lambda>()
                                        self=0.4 (0.1) us, cum=0.4 (0.1) us, calls=4                               ~:0 <len>()
                                      self=4.5 (1.1) us, cum=4.5 (1.1) us, calls=4                               scripts/client/Vehicle.py:177 isWheeledTech()
                                    self=16.7 (16.7) us, cum=16.7 (16.7) us, calls=1                           ~:0 <built-in method collideAllWorld>()
                                    self=1.3 (0.2) us, cum=1.3 (0.2) us, calls=6                               scripts/client_common/vehicle_appearance/common_tank_appearance.py:249 <lambda>()
                                    self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <method 'append' of 'list' objects>()
                                self=13.6 (6.8) us, cum=29.7 (14.8) us, calls=2                            scripts/client/AvatarInputHandler/gun_marker_ctrl.py:55 computePiercingPowerAtDist()
                                  self=4.0 (2.0) us, cum=9.7 (4.9) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:517 getConstantsModification()
                                    self=3.1 (1.6) us, cum=5.7 (2.8) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:437 getConstantsModification()
                                      self=1.9 (0.9) us, cum=2.6 (1.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/modification_cache/constants_modifications.py:52 get()
                                        self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:354 __bool__()
                                  self=1.5 (0.8) us, cum=3.2 (1.6) us, calls=2                               scripts/client/helpers/dependency.py:97 instance()
                                    self=4.7 (1.2) us, cum=6.2 (1.6) us, calls=4                               scripts/client/helpers/dependency.py:171 getService()
                                      self=1.5 (0.4) us, cum=1.5 (0.4) us, calls=4                               scripts/client/helpers/dependency.py:312 value()
                                  self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               scripts/client/gui/battle_control/battle_session.py:87 arenaVisitor()
                                  self=1.5 (0.8) us, cum=1.5 (0.8) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:588 modifiers()
                                self=12.2 (12.2) us, cum=25.7 (25.7) us, calls=1                           scripts/client/AvatarInputHandler/gun_marker_ctrl.py:444 __shotResultDefault()
                                  self=5.6 (5.6) us, cum=6.7 (6.7) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:277 _computePenetrationArmor()
                                    self=2.4 (0.6) us, cum=2.4 (0.6) us, calls=4                               scripts/common/items/vehicle_items.py:783 kind()
                                    self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               ~:0 <math.cos>()
                                    self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               ~:0 <math.acos>()
                                  self=3.0 (3.0) us, cum=3.2 (3.2) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:252 _shouldRicochet()
                                    self=2.4 (0.6) us, cum=2.4 (0.6) us, calls=4                               scripts/common/items/vehicle_items.py:783 kind()
                                  self=0.5 (0.5) us, cum=1.7 (1.7) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:547 __isDestructibleComponent()
                                    self=3.5 (0.3) us, cum=3.5 (0.3) us, calls=10                              ~:0 <isinstance>()
                                  self=1.2 (0.2) us, cum=1.2 (0.2) us, calls=7                               ~:0 <round>()
                                  self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:553 __collectDebugPiercingData()
                                  self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:568 __sendDebugInfo()
                                self=6.3 (3.1) us, cum=24.2 (12.1) us, calls=2                             scripts/client/Avatar.py:3317 getOwnVehiclePosition()
                                  self=13.5 (6.8) us, cum=17.9 (8.9) us, calls=2                             scripts/client/Avatar.py:3321 getOwnVehicleMatrix()
                                    self=2.0 (1.0) us, cum=4.4 (2.2) us, calls=2                               scripts/client/avatar_components/AvatarObserver.py:165 getObservedVehicleMatrix()
                                      self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                      self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                                self=10.2 (1.5) us, cum=17.6 (2.5) us, calls=7                             scripts/client/Avatar.py:3509 getVehicleDescriptor()
                                  self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                self=3.5 (0.3) us, cum=3.5 (0.3) us, calls=10                              ~:0 <isinstance>()
                                self=2.8 (2.8) us, cum=3.4 (3.4) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:246 _computePiercingPowerRandomization()
