vanilla aim at terrain

measurement without profiler: 450 us
profiler overhead: 150 us

                  self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
                  self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
              self=3.9 (1.0) us, cum=3.9 (1.0) us, calls=4                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
            self=5.4 (1.4) us, cum=9.7 (2.4) us, calls=4                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
              self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
            self=0.9 (0.4) us, cum=0.9 (0.4) us, calls=2                               ~:0 <built-in method setRotateY>()
            self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               ~:0 <built-in method applyPoint>()
            self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               ~:0 <built-in method applyVector>()
            self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method postMultiply>()
            self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method setRotateX>()
            self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
        self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
        self=3.5 (3.5) us, cum=10.8 (10.8) us, calls=1                             scripts/client/VehicleGunRotator.py:980 updateMultiGunCollisionData()
          self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
          self=1.7 (0.8) us, cum=7.0 (3.5) us, calls=2                               scripts/client/vehicles/mechanics/mechanic_helpers.py:36 getVehicleMechanicComponent()
            self=6.0 (1.5) us, cum=15.3 (3.8) us, calls=4                              scripts/client/vehicles/mechanics/mechanic_helpers.py:60 findVehicleMechanicDynamicComponent()
              self=1.8 (0.4) us, cum=5.4 (1.4) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:26 isVehicleMechanicComponent()
                self=1.7 (0.4) us, cum=3.6 (0.9) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:21 isValidMechanicComponent()
                  self=2.0 (0.4) us, cum=2.0 (0.4) us, calls=5                               ~:0 <isinstance>()
              self=2.8 (0.7) us, cum=3.3 (0.8) us, calls=4                               scripts/common/site-packages/enum34-1.1.10/enum/__init__.py:760 __hash__()
                self=0.5 (0.1) us, cum=0.5 (0.1) us, calls=4                               ~:0 <hash>()
              self=1.9 (0.4) us, cum=1.9 (0.4) us, calls=5                               ~:0 <method 'get' of 'dict' objects>()
          self=1.1 (1.1) us, cum=1.1 (1.1) us, calls=1                               scripts/client/Avatar.py:244 <lambda>()
        self=5.7 (5.7) us, cum=9.5 (9.5) us, calls=1                               scripts/client/BattleReplay.py:831 setGunMarkerParams()
          self=3.8 (3.8) us, cum=3.8 (3.8) us, calls=1                               scripts/client/BattleReplay.py:993 getControlMode()
        self=2.3 (2.3) us, cum=8.5 (8.5) us, calls=1                               scripts/client/VehicleGunRotator.py:1019 __getSupportMarkersInfo()
          self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
          self=1.7 (0.8) us, cum=7.0 (3.5) us, calls=2                               scripts/client/vehicles/mechanics/mechanic_helpers.py:36 getVehicleMechanicComponent()
            self=6.0 (1.5) us, cum=15.3 (3.8) us, calls=4                              scripts/client/vehicles/mechanics/mechanic_helpers.py:60 findVehicleMechanicDynamicComponent()
              self=1.8 (0.4) us, cum=5.4 (1.4) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:26 isVehicleMechanicComponent()
                self=1.7 (0.4) us, cum=3.6 (0.9) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:21 isValidMechanicComponent()
                  self=2.0 (0.4) us, cum=2.0 (0.4) us, calls=5                               ~:0 <isinstance>()
              self=2.8 (0.7) us, cum=3.3 (0.8) us, calls=4                               scripts/common/site-packages/enum34-1.1.10/enum/__init__.py:760 __hash__()
                self=0.5 (0.1) us, cum=0.5 (0.1) us, calls=4                               ~:0 <hash>()
              self=1.9 (0.4) us, cum=1.9 (0.4) us, calls=5                               ~:0 <method 'get' of 'dict' objects>()
        self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
          self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
        self=1.8 (1.8) us, cum=1.8 (1.8) us, calls=1                               scripts/common/items/vehicles.py:1045 <lambda>()
        self=1.5 (0.3) us, cum=1.5 (0.3) us, calls=5                               scripts/client/BattleReplay.py:243 <lambda>()
        self=1.2 (0.6) us, cum=1.2 (0.6) us, calls=2                               scripts/client/BattleReplay.py:248 <lambda>()
    self=2.3 (2.3) us, cum=45.7 (45.7) us, calls=1                             scripts/client/VehicleGunRotator.py:478 __shotPointSourceFunctor_Default()
      self=1.3 (1.3) us, cum=43.4 (43.4) us, calls=1                             scripts/client/AvatarInputHandler/__init__.py:610 getDesiredShotPoint()
        self=2.8 (2.8) us, cum=42.1 (42.1) us, calls=1                             scripts/client/AvatarInputHandler/control_modes.py:297 getDesiredShotPoint()
          self=5.8 (5.8) us, cum=39.1 (39.1) us, calls=1                             ~:0 <built-in method getDesiredShotPoint>()
            self=3.6 (3.6) us, cum=33.3 (33.3) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:304 getDesiredShotPoint()
              self=5.2 (5.2) us, cum=29.3 (29.3) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:257 _getDesiredShotPointUncached()
                self=3.2 (3.2) us, cum=23.3 (23.3) us, calls=1                             scripts/client/ProjectileMover.py:447 collideDynamicAndStatic()
                  self=20.0 (20.0) us, cum=20.0 (20.0) us, calls=1                           ~:0 <built-in method wg_collideDynamicStatic>()
                  self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
                self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
